pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
plekify,Singita,B,desktop,2,TRUE,,,9.0,4,0,2,8,30584,30.6,0,False,False,False,True,True
profitroom,Apukka Resort,A,desktop,2,TRUE,,,7.0,0,1,4,0,17246,17.2,1,False,False,False,True,True
cloudbeds,Sea Esta Komodo,A,mobile,3,FALSE,No availability found after 10 attempts,study_a,1.5,1,0,1,0,618196,618.2,10,False,False,False,True,True
nightsbridge,Thali Thali,A,desktop,2,TRUE,,,14.0,8,1,2,0,34348,34.3,1,False,False,False,True,True
siteminder,Beach Waikiki Hostel,B,desktop,3,TRUE,,,14.0,3,1,3,9,28950,28.9,0,False,False,False,True,True
profitroom,The Three,A,mobile,2,TRUE,,,6.5,0,1,3,0,18900,18.9,1,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,A,mobile,1,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,9386,9.4,0,False,False,False,True,True
plekify,Hemingways,B,mobile,1,TRUE,,,9.0,4,0,2,8,48253,48.3,0,False,False,False,True,True
plekify,Singita,A,desktop,2,TRUE,,,0.0,3,0,1,0,24429,24.4,1,False,False,False,True,True
siteminder,Nantucket Whale Inn,A,desktop,1,TRUE,,,6.5,0,1,3,0,17610,17.6,1,False,False,False,True,True
profitroom,Apukka Resort,A,mobile,3,TRUE,,,7.0,0,1,4,0,16792,16.8,1,False,False,False,True,True
profitroom,Katerina Resort,B,mobile,1,TRUE,,,7.0,1,1,2,0,124236,124.2,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,A,desktop,3,TRUE,,,6.0,0,1,2,0,16527,16.5,1,False,False,False,True,True
siteminder,Freehand NYC,B,mobile,3,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,7250,7.2,0,False,False,False,True,True
profitroom,Brahman Hills,B,mobile,1,FALSE,Could not select room,room_selection,7.0,0,1,4,0,23375,23.4,0,False,False,False,True,True
cloudbeds,The LINE Hotel,A,mobile,3,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,3728,3.7,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,B,desktop,1,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,11123,11.1,0,False,False,False,True,True
profitroom,Hotel Haffner,A,mobile,3,TRUE,,,6.5,0,1,3,0,19011,19.0,1,False,False,False,True,True
nightsbridge,Thali Thali,A,mobile,1,TRUE,,,10.0,4,1,2,0,19684,19.7,1,False,False,False,True,True
cloudbeds,Sea Esta Komodo,B,mobile,3,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,0,3,0,70413,70.4,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,B,mobile,1,FALSE,Could not find NightsBridge date display,select_dates,3.0,2,0,2,0,81152,81.2,0,False,False,False,True,True
profitroom,Apukka Resort,B,desktop,2,FALSE,CAPTCHA on homepage,homepage,1.0,0,0,2,0,7582,7.6,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,B,mobile,1,TRUE,,,14.0,3,1,3,9,26653,26.7,0,False,False,False,True,True
nightsbridge,Thali Thali,B,desktop,2,TRUE,,,19.0,13,1,2,0,51456,51.5,0,False,False,False,True,True
nightsbridge,Atlantic View,B,mobile,3,TRUE,,,18.0,12,1,2,0,52451,52.5,0,False,False,False,True,True
plekify,Simbavati,A,desktop,1,TRUE,,,0.0,3,0,1,0,21835,21.8,1,False,False,False,True,True
cloudbeds,Pod 51 Hotel,B,desktop,2,FALSE,Could not complete booking flow to payment page,study_b,0.0,4,0,4,0,135705,135.7,0,False,False,False,True,True
profitroom,Brahman Hills,B,desktop,3,FALSE,Could not select room,room_selection,7.0,0,1,4,0,26002,26.0,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,B,mobile,2,FALSE,No booking entry point found on homepage,homepage,0.0,0,0,1,0,3017,3.0,0,False,False,False,True,True
profitroom,Katerina Resort,B,desktop,2,TRUE,,,7.0,1,1,2,0,36428,36.4,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,B,desktop,1,FALSE,Could not find NightsBridge date display,select_dates,11.0,10,0,2,0,57288,57.3,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,A,mobile,3,FALSE,No booking entry point found on homepage,homepage,0.5,0,0,1,0,2929,2.9,0,False,False,False,True,True
